Element,Attribute
US-EIN-136110212,5
US-EIN-150532082,2
US-EIN-200881724,1
US-EIN-203074517,1
US-EIN-204365831,7
US-EIN-204451390,6
US-EIN-205170835,2
US-EIN-205947960,1
US-EIN-208003146,5
US-EIN-208530747,3
US-EIN-222127884,4
US-EIN-232764206,2
US-EIN-237069110,7
US-EIN-237378153,4
US-EIN-237413005,2
US-EIN-237432162,1
US-EIN-246000376,2
US-EIN-260126537,5
US-EIN-260651273,1
US-EIN-261324984,1
US-EIN-261509671,1
US-EIN-262681792,3
US-EIN-262852431,1
US-EIN-263161342,1
US-EIN-264462256,1
US-EIN-272795006,1
US-EIN-300126510,3
US-EIN-300245250,6
US-EIN-311794048,2
US-EIN-316401599,1
US-EIN-331007715,1
US-EIN-361930035,2
US-EIN-362181969,1
US-EIN-362364659,1
US-EIN-363895800,2
US-EIN-386005984,8
US-EIN-396006492,1
US-EIN-411425271,3
US-EIN-411685134,1
US-EIN-411694709,2
US-EIN-470553823,2
US-EIN-510175510,7
US-EIN-510198509,8
US-EIN-520595110,6
US-EIN-520812075,5
US-EIN-520907625,1
US-EIN-520954751,10
US-EIN-521021663,1
US-EIN-521041632,4
US-EIN-521067541,9
US-EIN-521081455,4
US-EIN-521154418,1
US-EIN-521190211,1
US-EIN-521196708,1
US-EIN-521224516,1
US-EIN-521231983,1
US-EIN-521234565,4
US-EIN-521289743,4
US-EIN-521363952,1
US-EIN-521476137,2
US-EIN-521501082,2
US-EIN-521524972,4
US-EIN-521580447,7
US-EIN-521591398,2
US-EIN-521640938,2
US-EIN-521654276,5
US-EIN-521681375,1
US-EIN-521698771,3
US-EIN-521818273,3
US-EIN-521941122,2
US-EIN-522073722,1
US-EIN-522098292,2
US-EIN-522100597,8
US-EIN-522148600,5
US-EIN-522241212,3
US-EIN-522277575,1
US-EIN-522310555,4
US-EIN-522341571,3
US-EIN-522351337,12
US-EIN-526041444,5
US-EIN-530196577,8
US-EIN-530196603,1
US-EIN-530204616,2
US-EIN-530214030,10
US-EIN-530235320,4
US-EIN-541512177,1
US-EIN-541901882,6
US-EIN-541940516,2
US-EIN-546001718,4
US-EIN-546055378,1
US-EIN-550825466,4
US-EIN-560532129,1
US-EIN-560942853,3
US-EIN-561071085,6
US-EIN-566172047,1
US-EIN-581353149,1
US-EIN-581454716,3
US-EIN-581593137,2
US-EIN-582368165,7
US-EIN-630676451,4
US-EIN-730707328,2
US-EIN-742923884,5
US-EIN-743026536,2
US-EIN-743093659,5
US-EIN-760620808,4
US-EIN-770155782,4
US-EIN-810302402,1
US-EIN-810623035,1
US-EIN-816001649,1
US-EIN-820574491,1
US-EIN-840399006,6
US-EIN-840412668,1
US-EIN-841435420,1
US-EIN-846000555,3
US-EIN-911148123,1
US-EIN-911157127,5
US-EIN-916001108,1
US-EIN-941156365,11
US-EIN-941539563,3
US-EIN-941646278,2
US-EIN-942278431,1
US-EIN-942663216,1
US-EIN-942760764,1
US-EIN-943067788,2
US-EIN-943213100,7
US-EIN-946002123,3
US-EIN-946036494,5
US-EIN-946069890,2
US-EIN-952544535,3
US-EIN-956006144,1
US-EIN-980037433,2
US-EIN-980118876,1
US-EIN-980338711,3
US-EIN-980352976,1
US-EIN-980401231,9
US-EIN-980548031,1
US-EIN-986000983,1
US-EIN-986001141,1
US-EIN-990161603,1
transaction/transaction-date,iso-date
None found
document-link,format
None found
document-link,category
None found
related-activity,type
None found
conditions,type
None found
result,type
None found
result/indicator,measure
None found
